COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
477,3010012385,CC FRENCH VANILLA CR,12 OZ,12,1284460
477,3010012419,CC CHOC FUDGE CREME,12 OZ,12,1284480
477,3010014068,KEEBLER OATMEAL CREM,15 OZ,12,128575
477,3010014076,KEEBLER GRASSHOPPERS,15 OZ,12,1284620
477,3010014084,KEEBLER CHIPSIES,15 OZ,12,128463
477,3010014217,MINI MIDDLES CHOCLAT,11 OZ,6,1285650
477,3010014225,MINI MIDDLES SHORTBR,11 OZ,6,1285660
477,3010014233,MINI MIDDLE OATMEAL,11 OZ,6,1285670
480,3010015586,MUNCH'EMS REDUCED SA,7 OZ,6,1286820
480,3010015610,MUNCHEM BI PACK,14 OZ,6,9800130
477,3010016584,KEEBLER PECAN SANDIE,17 OZ,12,1285560
477,3010016741,PECAN SANDIES REDUCE,16 OZ,12,1285660
477,3010016782,KEEBLER PECAN PRALIN,16 OZ,12,1285600
480,3010017053,WHEATABLES GARDEN VE,8.5 OZ,6,1285200
477,3010017657,DOUBLE DOMINOES/FDGE,16 OZ,12,128485
477,3010019638,BITE SIZE CHIPS DELU,11 OZ,6,1285700
477,3010019646,BITE SIZE RAINBOW CH,11 OZ,6,1285720
477,3010019653,BITE SIZE PECAN SAND,11 OZ,6,1285710
477,3010021022,KEEBLER CHIPS DLX CO,13 OZ,12,1286900
477,3010021162,KEEBLER CHIPS DELUXE,12 OZ,12,9881330
477,3010021188,~CHIPS DELUXE BAKERY,18 OZ,12,1286890
477,3010021196,$KEEBLER CHIPS DELUX,18 OZ,12,1286920
477,3010021220,KEEB PECAN CHIPS DEL,15 OZ,12,1285680
477,3010021238,BS CHIPS DELUXE SING,1.5 OZ,24,1284910
477,3010021246,BS RAINBOW C.D. SING,1.5 OZ,24,1284900
477,3010021303,CHIPS DELUXE REDUCED,16 OZ,12,1284950
477,3010021329,BS PECAN SANDIES SIN,1.5 OZ,24,1284920
477,3010021709,KEEBLER FUDGE SHOPPE,ASST,144,9812200
477,3010021758,DELUXE GRAHAM SINGLE,1.75 O,24,1284930
477,3010021766,FUDGE STRIPE SINGLE,2 OZ,24,1284940
477,3010021774,KEEBLER FUDGE SHOPPE,ASST,144,9812200
477,3010021808,KEEBLER CHOC LOVERS,16 OZ,12,1285690
477,3010021964,KEEBLER FUDGE SHOPPE,ASST,144,9812200
477,3010022285,KEEBLER FUDGE SHOPPE,ASST,144,9812200
477,3010022319,~RAISN RUCKUS CHC CO,16 OZ,12,1285600
477,3010022327,~RAISIN RUSKUS PLUM,16 OZ,12,1285610
477,3010031005,SWEET SPOTS,15 OZ,12,1284330
477,3010031021,~SWEET SPOTS,10 OZ,12,1284290
477,3010032524,FUDGE DOMINO GRAH/CH,10 OZ,12,128468
477,3010032532,FUDGE DOMINO CHOC/WH,10 OZ,12,128469
477,3010040030,MAGIC MDL SHRTBRD LR,16 OZ,12,1285590
477,3010040055,MAGIC MIDDLES OATMEA,11 OZ,12,1285640
477,3010040063,KBLR MAGIC MIDDLES S,11 OZ,12,1285610
477,3010040071,KBLR MAGIC MIDDLES W,11 OZ,12,1285600
477,3010040089,~MAGIC MIDDLES,16 OZ,12,1285630
477,3010040097,KBLR MAGIC MIDDLES C,11 OZ,12,1285620
477,3010041855,ELFKINS VANILLA,11 OZ,6,1284310
477,3010041889,KEEBLER ELFKINS BUTT,11 OZ,6,1284300
477,3010041897,KEEBLER ELFKINS DOUB,11 OZ,6,1284320
477,3010042994,SFT BATCH CHCO CHP C,17 OZ,12,1284800
477,3010043000,SFT BATCH CHIP CRM M,11 OZ,12,1284790
477,3010043059,KEEBLER SOFT BATCH C,12 OZ,12,1284700
477,3010043075,KBLR SFT BTCH MINT C,12 OZ,12,1284780
477,3010043166,KBLR SFT BTCH WLNT C,12 OZ,12,1284740
477,3010043190,KBLR SOFT BATCH OATM,12 OZ,12,1284710
477,3010043208,SFT BTCH PNT BTR $,12 OZ,12,1284720
477,3010043224,SFT BTCH PNT BTR CHO,12 OZ,12,1284770
477,3010043703,KBLR SOFT BATCH CHOC,18 OZ,12,1284730
